Timestamp,S,I,R,D
2020-03-02,8.398748e6,1.0,0.0,0.0
2020-03-03,8.398747998760095e6,0.9994725872241104,0.001013385980897628,0.0007539294797537354
2020-03-04,8.398747782685336e6,1.2137748336380245,0.0020289991714789487,0.0015108315739792212
2020-03-05,8.398745098325092e6,3.89483639338514,0.004082677782324877,0.0027558352209198496
2020-03-06,8.398737986457262e6,10.529025980238991,0.4796757834384339,0.004840974091730854
2020-03-07,8.398737849167835e6,9.734218063553632,1.4104763308945067,0.006137770049437982
2020-03-08,8.398737040133063e6,10.314152473537236,1.6383791722998402,0.00733529124016508
2020-03-09,8.398729964974714e6,16.945379009779813,2.0802032058215794,0.009443068990738537
2020-03-10,8.39872143828494e6,25.417944190853426,2.1083396388758144,0.035431229653053196
2020-03-11,8.39869476844708e6,51.984608169752484,2.172669602626741,0.07427514665461775
2020-03-12,8.398654033973185e6,91.44011889614902,3.3960881012874924,0.12981981759175762
2020-03-13,8.398594897661254e6,150.285199653305,3.59474489496303,0.22239419756265144
2020-03-14,8.398482178939482e6,253.86331962601363,12.3099328559268,0.6478080377747119
2020-03-15,8.398480044446489e6,252.83528759363733,15.24288933271366,0.8773765871446831
2020-03-16,8.398286403820582e6,439.4682227785314,16.427874715784096,6.700081926951739
2020-03-17,8.397905727240797e6,819.118904480305,16.946232111496272,7.207622611835612
2020-03-18,8.396888225820819e6,1832.7803416504562,18.677027661939896,9.316809870440734
2020-03-19,8.394799050445093e6,3746.6452398206984,177.95756647962216,25.34674860918182
2020-03-20,8.393598816410055e6,4621.838224181738,500.00623833563776,28.33912742959909
2020-03-21,8.391218872297162e6,6499.240618479209,987.2636029806068,43.62348138010806
2020-03-22,8.389093628390172e6,7771.5101869414975,1822.7025193448944,61.1589035419708
2020-03-23,8.386440722677914e6,9308.288568820391,2903.1074626622208,96.88129060325164
2020-03-24,8.383865787329067e6,10550.66013196852,4195.5601103777135,136.99242858762432
2020-03-25,8.380849385490342e6,12044.988776905471,5660.41238311371,194.2133496386983
2020-03-26,8.376904345305563e6,14066.322778548805,7504.58402472096,273.7478911676317
2020-03-27,8.373140346629576e6,15473.285813290086,9761.067779117857,374.299778016585
2020-03-28,8.368952732852815e6,16837.126664286327,12297.662109688279,661.4783732101599
2020-03-29,8.364971770750338e6,17854.139554837697,15143.767542287607,779.3221525367877
2020-03-30,8.361231710864228e6,18578.958975154626,18028.15868228018,910.1714783370088
2020-03-31,8.355691444504962e6,20641.70552830338,21322.039511398743,1093.8104553358644
2020-04-01,8.3512971818778e6,21039.391854129226,25021.6438460618,1390.7824220091827
2020-04-02,8.346968196573979e6,21308.54508118821,28692.26208332761,1779.9962615053128
2020-04-03,8.341554304935019e6,22452.63409325652,32513.333248935352,2228.7277227879795
2020-04-04,8.335590206053709e6,23654.302364494353,36857.40889798213,2647.0826838145417
2020-04-05,8.33117786149515e6,23149.54970221987,41356.62610799914,3064.9626946305284
2020-04-06,8.3266539842317775e6,22964.28644059425,45639.98571989653,3490.7436077322714
2020-04-07,8.3218807157569025e6,23009.460477377448,49856.143156249345,4002.6806094707354
2020-04-08,8.316930794657757e6,23222.690991504216,54035.29362401712,4560.220726722115
2020-04-09,8.311739868261202e6,23599.932706561103,58244.84877104078,5164.350261195677
2020-04-10,8.306220654677925e6,24214.983858840726,62527.05041946892,5786.311043765361
2020-04-11,8.300433487094288e6,24944.24523937859,67015.9712667892,6355.29639954474
2020-04-12,8.295582730320129e6,24674.01156743202,71579.20800416321,6913.050108275765
2020-04-13,8.292084703374899e6,23533.072642353425,75729.5561029274,7401.667879820617
2020-04-14,8.28809837994706e6,23600.94574400527,79239.29444183019,7810.379867104594
2020-04-15,8.280645568883925e6,26497.548013526102,83065.73021909394,8540.152883455095
2020-04-16,8.275672229528046e6,24370.027358422012,87243.89608136723,11462.84703216548
2020-04-17,8.271126906784786e6,23643.66152023731,90866.8166996404,13111.614995336691
2020-04-18,8.263435020488487e6,26970.616131758306,95009.79851216068,13333.564867594674
2020-04-19,8.259923266018111e6,25077.25458950167,99383.77752275947,14364.701869627523
2020-04-20,8.257392648299671e6,23550.240735718005,103139.1443827811,14666.96658183022
2020-04-21,8.254529450687911e6,22625.302413989848,106734.25346704629,14859.993431052755
2020-04-22,8.251761644556559e6,21728.731831954694,110197.68003298299,15060.943578503726
2020-04-23,8.24911012220957e6,20861.67959688834,113523.72174316441,15253.476450376926
2020-04-24,8.246565756920255e6,20028.05386108207,116716.90554150558,15438.283677157573
2020-04-25,8.244123599379396e6,19227.22636032973,119782.45192898148,15615.722331293007
2020-04-26,8.241779855021414e6,18457.713324202265,122725.37187190833,15786.059782475526
2020-04-27,8.239530580341054e6,17718.384322153404,125550.45835370963,15949.576983083314
2020-04-28,8.237372015047306e6,17008.104020072642,128262.3391423382,16106.54179028307
2020-04-29,8.2353005443468485e6,16325.775564987138,130865.46809306285,16257.211995101783
